Nombre,Tipo de Facilidad,Numero de Lic,Dueño o Control,Tipo de Acreditacion/numero,Direccion,Telefono,Pueblo,Numero de Estaciones,Capacidad de Camamas Autorizadas,Capacidad de Camas en Uso
CENTRO DE DIÁLISIS RENAL HOSPITAL MENONITA DE CAYEY - CAYEY - 96-11-031,Centro de Diálisis,11,Privado - Lucrativo - Corporación,Medicare,"Bo. Rincón, Sector Lomas, Carr. 14,",Teléfono: 787-250-1053,Pueblo: Cayey,32,,
THE RENAL CENTER OF DORADO - DORADO - 10-11-055,Centro de Diálisis,44,Privado - Lucrativo - Corporación,,Calle José M. Cardona Núm. 3,Teléfono: 787-292-7979,Pueblo: Dorado,29,,
Fresenius Medical Care - Guayama Dialysis - 86-11-004,Centro de Diálisis,13,Privado - Lucrativo - Corporación,"Medicare, Medicaid","Carr. Estatal 54, Km. 2.1, Esq. Calle Arnaldo Bristol",Teléfono: 809-844-6050,Pueblo: Guayama,18,,
FRESENIUS MEDICAL CARE SANTA ROSA DIALYSIS - GUAYAMA - 91-11-139,Centro de Diálisis,14,Privado - Lucrativo - Corporación,Medicare,"Ave. Los Veteranos, Urb. Villa Rosa I",Teléfono: 787-864-0101,Pueblo: Guayama,0,,
"HEALTH RESOURCES GROUP GUAYNABO, INC. - DIALISIS RENAL - GUAYNABO -98-11-121",Centro de Diálisis,15,Privado - Lucrativo - Corporación,Medicare / 40-2534,"Guaynabo Medical Mall, 140 Ave. Las Cumbres",Teléfono: 787-999-7080,Pueblo: Guaynabo,19,,
BIO MEDICAL APPLICATIONS OF HUMACAO - HUMACAO - 87-11-165,Centro de Diálisis,16,Privado - Lucrativo - Corporación,"Medicare, Medicaid","Tremendo Shopping Center, Carr. 3, Km. 33",Teléfono: 787-746-7441,Pueblo: Humacao,41,,
RENAL CENTRE OF ISABELA - ISABELA - 99-11-087,Centro de Diálisis,41,Privado - Lucrativo - Corporación,Medicare,Carr. Militar Núm. 2,Teléfono: 787-722-9090,Pueblo: Isabela,25,,
THE RENAL CENTRE OF JUNCOS - JUNCOS- 01-11-139,Centro de Diálisis,28,Privado - Lucrativo - Corporación,,Juncos,,Pueblo: Juncos,17,,
RENAL CENTRE OF LARES - LARES - 99-11-035,Centro de Diálisis,18,Privado - Lucrativo - Corporación,Medicare / 40-2536,"Carr. 129, Km. 25.6, Bo. Piletas",Teléfono: 787-726-5111,Pueblo: Lares,15,,
FRESENIUS MEDICAL CARE OF LAS PIEDRAS - LAS PIEDRAS - 07-11-001,Centro de Diálisis,47,Privado - Lucrativo - Corporación,,"Plaza Las Piedras, Carr. 917 Int. 183",Teléfono: 787-764-3172,Pueblo: Las Piedras,16,,
THE RENAL CENTER OF MANATI - MANATI - 87-11-127,Centro de Diálisis,19,Privado - Lucrativo - Corporación,Medicare,"Hospital Doctors Center, Carr. 2 Km. 47.7, Sector Cabo Sur",Teléfono: 787-854-3322,Pueblo: Manatí,34,,
BIO MEDICAL APPLICATIONS OF MAYAGÜEZ - MAYAGUEZ - 84-11-004,Centro de Diálisis,20,Privado - Lucrativo - Corporación,Medicare,"Ave. Los Corazones 1050, Ofic. 101",Teléfono: 787-833-5335,Pueblo: Mayagüez,38,,
FMC DIALYSIS SERVICES NORTH MAYAGUEZ RENAL CENTER - MAYAGUEZ - 96-11-070,Centro de Diálisis,21,Privado - Lucrativo - Corporación,Medicare,"Carr. 64, Km. 0.5, Bo. Sabanetas",Teléfono: 787-834-5335,Pueblo: Mayagüez,23,,
THE RENAL CENTRE OF MAYAGUEZ -MAYAGUEZ - 04-11-149,Centro de Diálisis,43,Privado - Lucrativo - Corporación,Medicare,"Centro Médico de Mayaguez, Bo. Sábalos",Teléfono: 787-292-7979,Pueblo: Mayagüez,29,,
CENTRO DE DIALISIS SAN MIGUEL ARCANGEL,Centro de Diálisis,1,Privado - Lucrativo - Corporación,,Carr. P.R. 164 Km. 6.9,Teléfono: 787-227-4604,Pueblo: Naranjito,24,,
DIALICENTRO - PONCE - 89-11-139,Centro de Diálisis,24,Privado - Lucrativo - Corporación,Medicare,"Urb. Punto Oro Núm. 500, Ave. Exterior",Teléfono: 787-259-0688,Pueblo: Ponce,32,,
THE RENAL CENTRE OF PONCE - PONCE -87-11-179,Centro de Diálisis,25,Privado - Lucrativo - Corporación,"Medicare, Medicaid / 40-2510","Hospital San Lucas 2, 14 Ave. Tito Castro",Teléfono: 292-7979,Pueblo: Ponce,31,,
BMA PONCE - PONCE - 80-11-130,Centro de Diálisis,22,Privado - Lucrativo - Corporación,Medicare / 40-2517,Ponce By Pass Carr. 2 San Jorge Shopping Center,Teléfono: 787-844-6090,Pueblo: Ponce,33,,
FRESENIUS MEDICAL CARE-PONCE CENTRO DIALYSIS - PONCE - 90-11-197  Antes: Dr. Pila Dialysis Center,Centro de Diálisis,26,Privado - Lucrativo - Corporación,Medicare,Calle Power #100,Teléfono: 787-848-5600,Pueblo: Ponce,28,,
Centro Renal Universitario,Centro de Diálisis,33,Gobierno Estatal,"Medicare, JCAHO / 40-2305",Barrio Monacillo Centro Médico,Teléfono: 754-0101,Pueblo: San Juan,34,,
BIOMEDICAL APPLICATIONS OF RIO PIEDRAS INC. - UNIDAD AMBULATORIA DE DIALISIS - RIO PIEDRAS - 87-11-073,Centro de Diálisis,32,Privado - Lucrativo - Corporación,Medicare / 40-2515,"Ave. Ponce de León 1527, Ofic.102, Bo. El Cinco",Teléfono: 787-766-2296,Pueblo: San Juan,38,,
UNIDAD DE DIÁLISIS PEDIÁTRICA - RIO PIEDRAS - 92-11-042,Centro de Diálisis,34,Gobierno Estatal,"Medicare, Medicaid",Hospital Pediátrico Universitario,Teléfono: 787-767-3182,Pueblo: San Juan,5,,
The Renal Centre of San Germán - Sub-Región de San Germán - 11-11-111,Centro de Diálisis,46,Privado - Lucrativo - Corporación,,"Centro Comercial Las LomasAve. Castro Pérez, Carretera 122, km. 0, hm. 6",,Pueblo: San Germán,17,,
BIO MEDICAL APPLICATIONS OF SAN GERMAN - SAN GERMAN - 82-11-062,Centro de Diálisis,35,Privado - Lucrativo - Corporación,"Medicare, Ley 101","Carr. 2, Km. 173",Teléfono: 787-892-0942,Pueblo: San Germán,25,,
BIO MEDICAL APPLICATIONS OF SAN JUAN - SAN JUAN - 92-11-002,Centro de Diálisis,30,Privado - Lucrativo - Corporación,Medicare / 40-2501,"Antillas Warehouse & Office Park, 461 Francia St., Suite 401",Teléfono: 787-764-3172,Pueblo: San Juan,35,,
AUXILIO MUTUO DIALYSIS CENTER -HATO REY - 88-11-059,Centro de Diálisis,29,Privado - Lucrativo - Corporación,Medicare,"Clínica Expreso Auxilio Mutuo, Carr. 199, Ave. Las Cumbres",Teléfono: 787-764-3172,Pueblo: San Juan,55,,
THE RENAL CENTRE OF SAN SEBASTIÁN - SAN SEBASTIAN - 01-11-064,Centro de Diálisis,37,Privado - Lucrativo - Corporación,"Medicare, Medicaid / 40-2536",Calle José Méndez Cardona #3,Teléfono: 787-280-6767,Pueblo: San Sebastián,16,,
THE RENAL CENTRE OF TOA BAJA - TOA BAJA - 01-11-062,Centro de Diálisis,27,Privado - Lucrativo - Corporación,Medicare,Municipio de Toa baja,,Pueblo: Toa Baja,33,,
FMC Vega Alta Dialisis,Centro de Diálisis,45,Privado - Lucrativo - Corporación,,"Calle 1, Lote 2, Parque Industrial de Vega",,Pueblo: Vega Alta,20,,
VEGA BAJA RENAL DIALYSIS CENTER - VEGA BAJA - 89-11-301,Centro de Diálisis,38,Privado - Lucrativo - Corporación,"Medicare, Medicaid",Las Vegas Shopping Center D-14,Teléfono: 787-758-0930,Pueblo: Vega Baja,45,,
UNIDAD DE DIALISIS MUNICIPIO DE VIEQUES - VIEQUES - 07-11-085,Centro de Diálisis,4,Gobierno Municipal,,"Carr. PR 997, Km. 1.0, Bo. Destino",Teléfono:,Pueblo: Vieques,4,,
CENTRO RENAL DE YAUCO - YAUCO - 97-11-127,Centro de Diálisis,39,Privado - Lucrativo - Corporación,Medicare,"Calle Prolongación Núm. 20, Cond. Torres Navel, Ofic. 102-C",Teléfono: 787-250-5660,Pueblo: Yauco,20,,
Island Rehabilitation Center,Centro de Rehabilitación,11,Privado - Lucrativo - Corporación,Medicare,Ave. Santa Cruz Núm. 28,Teléfono: 798-0723,Pueblo: Bayamón,,,
Multy-Physical Rehabilitation Center - 11-10-034 - Hato Rey,Centro de Rehabilitación,4,Privado - Lucrativo - Corporación,,"Avenida Muñoz Rivera, 402",,Pueblo: San Juan,,,
Sociedad de Educación y Rehabilitación de Puerto Rico,Centro de Rehabilitación,1,Privado - No Lucrativo- Iglesia,Medicare,Calle Báez #500Urb. Pérez Morris,Teléfono: 767-6710,Pueblo: San Juan,,,
OROCOVIS HEALTH CARE CENTER INC.,Centro de Rehabilitación,3,Privado - Lucrativo - Corporación,,Calle Pedro Arroyo #50,Teléfono: 787-718-0047,Pueblo: Orocovis,,,
CENTRO DE REHABILITACION SAN JUAN AGING CENTER,Centro de Rehabilitación,6,Gobierno Municipal,"Medicare, Medicaid","Ave. 65 de Infantería, Km. 3.4",Teléfono: 787-765-1340,Pueblo: San Juan,,,
TERAPIA FISICA LA MONSERRATE,Centro de Rehabilitación,5,Privado - Lucrativo - Corporación,,AVE. 5 DE DICIEMBRE 100,,Pueblo: Sabana Grande,,,
CENTRO DE REHABILITACION PSICOSOCIAL DE CAYEY,Centro de Rehabilitación Sicosocial,4,Gobierno Estatal,,AVE. JOSE DE DIEGO 392 OESTE,Teléfono: 787-738-3705,Pueblo: Cayey,,40,40
CENTRO DE REHABILITACION PSICOSOCIAL DE SALUD MENTAL - TRUJILLO ALTO (-A-94-10-066),Centro de Rehabilitación Sicosocial,2,Gobierno Estatal,,"Carretera 199, Intersección 845,",Teléfono: 787 763-7575,Pueblo: Trujillo Alto,,64,64
CENTRO DE CIRUGÍA AMBULATORIA AGUADILLA - AGUADILLA - 84-12-009,Cirugía Ambulatoria,1,Privado - Lucrativo - Corporación,Medicare / 40C001013,"Carr. 107, Zona Industrial",Teléfono: 787-882-0303,Pueblo: Aguadilla,,,
"CENTRO OFTALMOLOGICO DE ARECIBO, INC. - CIRUGIA AMBULATORIA",Cirugía Ambulatoria,35,Privado - Lucrativo - Corporación,Medicare / 40C0001027,Ave. De Diego 404,Teléfono: 787 831-6640,Pueblo: Arecibo,,,
ASC - CDT METROPOLITANO DE ARECIBO,Cirugía Ambulatoria,33,Privado - Lucrativo - Corporación,,"Carr. 129, Km. 2.7Int. Hato Abajo",Teléfono: 650-0020,Pueblo: Arecibo,,,
ADVANCED IMAGING & INTERVENTIONAL CENTER RADIOLOGIA INTERVENCIONAL - BAYAMÓN - 95-12-074,Cirugía Ambulatoria,2,Privado - Lucrativo - Corporación,,"Edif. Arturo Cadilla Viñas, Suite 106Centro Médico San Pablo",Teléfono: 787-780-9069,Pueblo: Bayamón,,,
MEDICAL OFTALMIC LASER - BAYAMON- 96-13-022,Cirugía Ambulatoria,3,Privado - Lucrativo - Corporación,Medicare,Carr. #2 Km. 11.9,Teléfono: 787-765-1478,Pueblo: Bayamón,,,
INSTITUTO PARA CUIDADO DEL SENO -,Cirugía Ambulatoria,9,Privado - Lucrativo - Corporación,,"Bayamón Medical Plaza, Suite 209",Teléfono: 787-617-4278,Pueblo: Bayamón,,,
SALA QUIRÚRGICA AMBULATORIA DE BAYAMÓN - BAYAMON - 98-12-132,Cirugía Ambulatoria,6,Privado - Lucrativo - Corporación,,"Edf. Dr. Arturo Cadilla Suite 503, Paseo San Pablo",Teléfono: 787-751-8286,Pueblo: Bayamón,,,
"ADVANCE PAIN MANAGEMENT AND REHABILITATION INSTITUTE, INC. -BAYAMON - 07-12-011",Cirugía Ambulatoria,34,Privado - Lucrativo - Corporación,,Calle Santa Cruz E-22,Teléfono: 787-740-4286,Pueblo: Bayamón,,,
Centro de Cirugía Urológica Ambulatoria-10-12-076,Cirugía Ambulatoria,25,Privado - Lucrativo - Corporación,,"Torre San Pablo, Suite 101 y 102Calle Santa Cruz, #68",,Pueblo: Bayamón,,,
HIMA SURGICENTER,Cirugía Ambulatoria,7,Privado - Lucrativo - Corporación,"Medicare, JCAHO",Calle Muñoz Rivera A-1,Teléfono: 787-746-8862,Pueblo: Caguas,,,
INSTITUTO DE OJOS Y PIEL - CIRUGIA AMBULATORIA - CAROLINA - 92-12-015,Cirugía Ambulatoria,8,Privado - Lucrativo - Corporación,Medicare,"Carr. Núm. 3, Km. 12.7",Teléfono: 787-769-2477,Pueblo: Carolina,,,
CENTRO QUIRURGICO DE LA MONTAÑA - CAYEY - 91-04-075,Cirugía Ambulatoria,10,Privado - Lucrativo - Corporación,Medicare,"Calle Luis Barreras Núm. 174,",Teléfono: 787-535-0380,Pueblo: Cayey,,,
"GUAYNABO ASG, INC. - GUAYNABO (04-12-106)",Cirugía Ambulatoria,4,Privado - Lucrativo - Corporación,Medicare,"Lobby, Suite 117, City View Plaza, Carr. 165, Km. 1.2 #48",Teléfono: 787-775-2020,Pueblo: Guaynabo,,,
RELIABLE AMBULATORY SURGICAL CENTER - GUAYNABO - 07-12-036 (Antes:Guaynabo Medical Mall),Cirugía Ambulatoria,5,Privado - Lucrativo - Corporación,"DEPARTAMENTO DE SALUD, Ley 101","Carr. 886, Ave. Las Cumbres",Teléfono: 787-720-9600,Pueblo: Guaynabo,,,
INSTITUTO PARA EL MANEJO DEL DOLOR DE PUERTO RICO Y DEL CARIBE,Cirugía Ambulatoria,37,Privado - Lucrativo - Corporación,,Edificio del Centro Internacional de Mercadeo Sector Amelia,Teléfono: 787-751-8201,Pueblo: Guaynabo,,,
CENTRO CIRUGIA AMBULATORIA PROCEDIMIENTOS UROLOGICOS - HATO REY - 00-12-061,Cirugía Ambulatoria,14,Privado - Lucrativo - Corporación,"Medicare, JCAHO / 40C0001025",Torre de Oficinas Médicas del Hospital Auxilio MutuoAve. Ponce de Leon Pda. 37 1/2,Teléfono: 787-758-3061,Pueblo: San Juan,,,
INSTITUTO DE GASTROENTEROLOGÍA DE PUERTO RICO - HATO REY - 91-13-181,Cirugía Ambulatoria,15,Privado - Lucrativo - Corporación,Medicare," 206, Hato ReyClínica Las Américas, Ave. Roosevelt 400Suite",Teléfono: 787-764-8787,Pueblo: San Juan,,,
CLINICA DE CIRUGIA AMBULATORIA DE PUERTO RICO - MAYAGUEZ - 79-12-309,Cirugía Ambulatoria,18,Privado - Lucrativo - Corporación,Medicare / 40C0001000,Calle de Diego #15,Teléfono: 787-833-4400,Pueblo: Mayagüez,,,
CENTRO DE ENDOSCOPIA AVANZADA DEL CARIBE - MAYAGUEZ - 06-12-018,Cirugía Ambulatoria,24,Privado - Lucrativo - Corporación,,"Avenida De Diego 53 Este, Edificio 55, Suite 104",Teléfono: 787-265-4250,Pueblo: Mayagüez,,,
INSTITUTO CIRUGIA PLASTICA DEL OESTE CIRUGIA AMBULATORIA - MAYAGUEZ - 81-12-021,Cirugía Ambulatoria,19,Privado - Lucrativo - Corporación,Medicare / 40C0001002,Méndez Vigo 165 Este,Teléfono: 787-833-3248,Pueblo: Mayagüez,,,
ADVANCED ENDOSCOPY CENTER,Cirugía Ambulatoria,22,Privado - Lucrativo - Corporación,,2213 Ponce By Pass,Teléfono: 787-843-1129,Pueblo: Ponce,,,
CARIBBEAN SURGY CENTER CIRUGIA OFTALMICA - PONCE - 98--12-013,Cirugía Ambulatoria,20,Privado - Lucrativo - Corporación,Medicare / 40C0001019,"Edif. Fullana 8B, Santa María,",Teléfono: 787-832-7429,Pueblo: Ponce,,,
ASC PLAYA DE PONCE,Cirugía Ambulatoria,21,Privado - No Lucrativo - Corporación,Medicare,Ave. de Hostos Número 1034,Teléfono: 787-843-9393,Pueblo: Ponce,,,
HOSPITAL METROPOLITANO DR. PILA -PONCE - 79-07-478,Cirugía Ambulatoria,17,Privado - Lucrativo - Corporación,,Ave. Las Américas,,Pueblo: Ponce,,,
HOSPITAL ANDRES GRILLASCA - PONCE - 80-07-723,Cirugía Ambulatoria,12,Privado - Lucrativo - Corporación,,"Carr. 14. Terrenos Centro Médico, Bo. Machuelo",Teléfono: 787-848-0800,Pueblo: Ponce,,,
CENTRO CIRUGIA AMBULATORIA PARA MANEJO DEL DOLOR SAN FRANCISCO - RIO PIEDRAS - 97-12-021,Cirugía Ambulatoria,23,Privado - Lucrativo - Corporación,Medicare,"Torre Hospital San Francisco, Ofic. 303, De Diego 369",Teléfono: 787-250-0213,Pueblo: San Juan,,,
CENTRO DE CIRUGIA AMBULATORIA - RIO PIEDRAS - 09-12-019,Cirugía Ambulatoria,11,Privado - No Lucrativo- Otras No Pecuniarias,,"Centro Comercial Reparto Metropolitano, Ave. Américo Miranda",,Pueblo: San Juan,,,
OJOS - CENTRO DE CIRUGIA AMBULATORIA - SANTURCE - 84-12-024,Cirugía Ambulatoria,29,Privado - Lucrativo - Corporación,"Medicare, DEPARTAMENTO DE SALUD","Calle Hipódromo Num. 809, Pda. 20 Santurce",,Pueblo: San Juan,,,
Caribbean Interventional Pain Management Surgical Center - San Juan,Cirugía Ambulatoria,26,Privado - Lucrativo - Corporación,,"Calle Rafael Lamar 524, Esq. Domenech",,Pueblo: San Juan,,,
"Podiatry Center, PSC",Cirugía Ambulatoria,16,Privado - Lucrativo - Corporación,,"Ave. Fernández Juncos 1413, Edif. Podiatric Center",,Pueblo: San Juan,,,
"LAS AMÉRICAS AMBULATORY SURGICENTER, INC. - HATO REY - 85-12-009",Cirugía Ambulatoria,13,Privado - Lucrativo - Corporación,"Medicare, SALUD",Ave. F.D. Roosevelt Núm. 400Edif. Clínica Las Americas Suite 301 San Juan 00919-2115,Teléfono: 787-767-2515,Pueblo: San Juan,,,
CENTRO DE CIRUGIA AMBULATORIA DE SAN SEBASTIAN - SAN SEBASTIAN -95-12-145,Cirugía Ambulatoria,27,Privado - Lucrativo - Corporación,Medicare,"Calle José Méndez Cardona, Núm. 3",Teléfono: 787-896-1850,Pueblo: San Sebastián,,,
ASC SAN JUAN MEDICAL PLAZA,Cirugía Ambulatoria,30,Privado - Lucrativo - Corporación,Medicare,Ave. De Diego 150Esq. Baldorioty,Teléfono: 977-7575,Pueblo: San Juan,,,
CIRUGÍA AMBULATORIA CARIBE MEDICAL PLAZA - VEGA ALTA - 98-12-106,Cirugía Ambulatoria,31,Privado - Lucrativo - Corporación,Medicare / 40C0001017,"Solar 1, Carr. PR 2, Marginal Urb. Santa Rita",Teléfono: 787-270-1345,Pueblo: Vega Alta,,,
INSTITUTO PSICOPEDAGOGICO DE PUERTO RICO - BAYAMON - 02-10-258,Facilidades Medicas para Personas con Discapasidad Intelectual (Retardación mental),1,Privado - No Lucrativo- Otras No Pecuniarias,,"Carr. Núm. 2, Km. 8.5",Teléfono: (787)783-5431,Pueblo: Bayamón,,,
CORPORACION DE SERVICIOS DE SALUD DE ADJUNTAS - ADJUNTAS - 03-06-010,Hospicio,22,Privado - No Lucrativo- Corporación,Medicare,"Calle Rodulfo González 46,",Teléfono: 787-829-2953,Pueblo: Adjuntas,,,
HOSPICIO SAN FRANCISCO - AGUADA - 03-06-004,Hospicio,24,Privado - Lucrativo - Corporación,"Medicare, Medicaid",Calle José de Diego Núm. 1 (frente a la Alcaldía),Teléfono: 787-868-2920,Pueblo: Aguada,,,
"HOSPICIO SANTA RITA, INC. - AGUADA -04-06-014",Hospicio,14,Privado - Lucrativo - Corporación,Medicare,"Carr. 417, Km. 0.7, Ave. Rotario, Bo. Asomante",Teléfono: 787-868-7050,Pueblo: Aguada,,,
MENNONITE HOSPICE - AIBONITO - 03-06-007,Hospicio,15,Privado - No Lucrativo- Corporación,Medicare,"Calle José C. Vázquez, Bo. Caonillas,",Teléfono: 787-735-8001,Pueblo: Aibonito,,,
SERVICIOS DE SALUD EN EL HOGAR Y HOSPICIO SAN LUCAS,Hospicio,39,Privado - No Lucrativo- Iglesia,,"Edif. Caribbean Cinemas 2do. piso, Ofic. 203Carr. Núm. 2 Km. 81.0 Bo. Daniel",Teléfono: 787-880-5517,Pueblo: Arecibo,,,
"HOSPICIO LA PAZ, INC. - ARECIBO 03-06-008",Hospicio,11,Privado - No Lucrativo- Corporación,Medicare,152 Calle Rodríguez Irizarry,Teléfono: 787-879-4733,Pueblo: Arecibo,,,
HOSPICIO LA MONTAÑA - BARRANQUITAS - 04-06-007,Hospicio,4,Privado - No Lucrativo- Corporación,"Medicare, Medicaid, LEY 101","Calle Barceló úm. 53, Carr. Núm. 156, Km. 16.1",Teléfono: 787 869-5500,Pueblo: Barranquitas,,,
"HEALTHKEEPERS HOSPICE, INC. - BAYAMON 03-06-011",Hospicio,28,Privado - Lucrativo - Corporación,Medicare / 40-1555,"Calle 1 B-14, Urb. Santa Cruz",Teléfono: (787) 786-4626,Pueblo: Bayamón,,,
SERVICIOS DE SALUD EN EL HOGAR Y HOSPICIO SAN LUCAS BAYAMON,Hospicio,41,Privado - No Lucrativo- Iglesia,,"Edificio Comercial, Ave. ComeríoCarr. 167 Km. 19.5",Teléfono: 787-799-6740,Pueblo: Bayamón,,,
MED HEALTH HOSPICE CORP. - CABO ROJO - 03-06-028,Hospicio,38,Privado - Lucrativo - Corporación,Medicare,"100 Ave. Pedro Albizu Campos, Edif. Profesional BorinquenCarr. 102 Interior, Local C-5",Teléfono: (787)314-6894,Pueblo: Cabo Rojo,,,
SERVICIOS DE SALUD EN EL HOGAR Y HOSPICIO SAN LUCA,Hospicio,40,Privado - No Lucrativo- Iglesia,Medicare,"Edif. Angora Center, Calle EUrb. Industrial Villa Blanca Bo. Bairoa",Teléfono: 787-743-4835,Pueblo: Caguas,,,
Hospicio La Caridad - Región Este - 03-06-006,Hospicio,16,Privado - Lucrativo - Corporación,Medicare / 40-1538,"Calle 2 Núm. 4GL-15, 4ta. Sección, Urb. Villa del Rey",,Pueblo: Caguas,,,
Hospicio Atención Médica 04-06-010,Hospicio,5,Privado - Lucrativo - Corporación,Medicare / 40-1510,"Carr. 1, Km. 34.9, Bo Bairoa",Teléfono: 787-258-1628,Pueblo: Caguas,,,
"HOSPICIO PLENA SERENIDAD, INC. - CAROLINA - 01-06-154",Hospicio,37,Privado - Lucrativo - Corporación,Medicare,Ave. Roberto Clemente D-10,Teléfono: 787 637-0975,Pueblo: Carolina,,,
Advanced Hospice Services - Región Este - 11-06-078,Hospicio,47,Privado - Lucrativo - Corporación,,"Carr. 869, Calle 19, Km. 2.0Urb. Palmas Industrial, Bo. Palmas",,Pueblo: Cataño,,,
HOSPICIO SENDERO DE LUZ - COMERIO - 03-06-003,Hospicio,25,Privado - Lucrativo - Corporación,"Medicare, Medicaid, DEPARTAMENTO DE SALUD",Calle Georgetti #9 (Altos),Teléfono: 809-875-5701,Pueblo: Comerio,,,
SERVICIOS DE SALUD EN EL HOGAR GEMINIS Y HOSPICIO,Hospicio,35,Privado - Lucrativo - Corporación,Medicare,"Carr. 159, Km. 13.4,Bo. Pueblo",Teléfono: 787-859-5755,Pueblo: Corozal,,,
"CUIDADO CASERO HOSPICE, INC. - SAN JUAN - 04-06-013",Hospicio,6,Privado - No Lucrativo- Corporación,Medicare,"Calle Unión #5, Bajos, Sector Piedras Blancas,Bo. Los Frailes",Teléfono: 787-620-5578,Pueblo: Guaynabo,,,
Grace Hospice of Puerto Rico 05-06-018,Hospicio,23,Gobierno Municipal -Lucrativo - Sociedad,Medicare,"Calle Cabo H. Alverío #563, Ave. Domenech",,Pueblo: San Juan,,,
"SERVICIOS SUPLEMENTARIOS DE SALUD, INC. - HATO REY - 04-06-002",Hospicio,12,Privado - No Lucrativo- Corporación,Medicare,"Ave. Eleonor Roosevelt Núm. 114, 2do. Piso",Teléfono: 787-759-8000,Pueblo: San Juan,,,
"HOSPICIO HOSPITAL RYDER MEMORIAL, INC. - HUMACAO - 03-06-002",Hospicio,18,Privado - Lucrativo - Corporación,"Medicare, JCAHO",317 Font Martelo Ave.,Teléfono: 787-852-2869,Pueblo: Humacao,,,
S & R HOSPICE - ISABELA - 03-06-012,Hospicio,32,Privado - Lucrativo - Corporación,Medicare,"Carr. 2, Km. 111.5, Bo. Arenales",Teléfono: 787-872-5458,Pueblo: Isabela,,,
HOSPICIO EMMANUEL - LARES - 04-06-017,Hospicio,7,Privado - No Lucrativo - Corporación,Medicare,"Carr. 129, Ramal 415, KM. 0.0, Sector Matilde,Bo. Buenos Aires",Teléfono: 809-897-7040,Pueblo: Lares,,,
CAMINO DE LUZ HOSPICE CARE - MANATI - 04-06-008,Hospicio,30,Privado - Lucrativo - Corporación,"Medicare, Medicaid",Barriada Félix Córdova Dávila #13,Teléfono: 787 884-0786,Pueblo: Manatí,,,
HOSPICIO TOQUE DE AMOR - Región Norte- 03-06-007,Hospicio,19,Privado - Lucrativo - Corporación,Medicare,"Urb. San Salvador A-15, Calle Vending - Suite 1",Teléfono: 787-884-3326,Pueblo: Manatí,,,
Quality Care Hospice - Región Sur - 11-06-097,Hospicio,46,Privado - Lucrativo - Corporación,,"Carr. Pr-669, Km. 2.0, Sector Vereda, Bo. Pueblo",,Pueblo: Manatí,,,
HOSPICIO LA FE - REGION METROPOLITANA - 05-06-001,Hospicio,3,Privado - Lucrativo - Corporación,Medicare / 40-1504,"Calle Hernández Carrión J-9, Urb. Atenas",Teléfono: 787 854-3793,Pueblo: Manatí,,,
HOSPICIO DIVINAS MANOS - MANATI (A-05-06-019),Hospicio,29,Privado - Lucrativo - Corporación,Medicare / 40-1564,"Carretera 2, Km. 46.4, Bo. Cotto Norte",Teléfono: 787-884-8423,Pueblo: Manatí,,,
"HOSPICIO SANTA RITA, INC. - MAYAGUEZ - 04-06-004",Hospicio,27,Privado - Lucrativo - Corporación,Medicare / 40-1554,"Edif. Medical Emporium, Suite 210, Carr. 2, Km. 1.59",Teléfono: 787-868-2945,Pueblo: Mayagüez,,,
HOSPICIO AMOR Y TRANQUILIDAD,Hospicio,45,Privado - Lucrativo - Corporación,,Edificio Park PlazaOficina 202 Martínez Nadal 59,Teléfono: 787-464-4766,Pueblo: Mayagüez,,,
WESTERN MEDICAL HOSPICE - MAYAGUEZ - 03-06-009,Hospicio,34,Privado - Lucrativo - Corporación,Medicare,"Edificio M-1537-0-03-02, Calle B, Lote 30 Zona Industrial, Bo. Guanajibo",Teléfono: 787-831-3595,Pueblo: Mayagüez,,,
SERVICIOS DE SALUD EN EL HOGAR Y HOSPICIO SAN LUCAS MAYAGUEZ,Hospicio,10,Privado - No Lucrativo- Iglesia,Medicare,Calle Méndez Vigo Núm. 201 Oeste,Teléfono: 787-833-8240,Pueblo: Mayagüez,,,
HOSPICIO LA MILAGROSA - MOROVIS - 04-06-012,Hospicio,33,Privado - Lucrativo - Corporación,"Medicare, Medicaid","Carretera 633, Barrio Barahona",Teléfono: 787-862-2048,Pueblo: Morovis,,,
HOSPICIO LA PROVIDENCIA - PONCE - 04-06-011,Hospicio,1,Privado - No Lucrativo- Corporación,Medicare,"Ave. Muñoz Rivera #1206, Reparto Universitario,",Teléfono: 787-843-2364,Pueblo: Ponce,,,
"HOSPICIO SAN JUDAS, INC. - REGIÓN SUR - 04-06-005",Hospicio,26,Privado - Lucrativo - Corporación,Medicare,Calle Luna Núm. 4836,Teléfono: 787-840-8356,Pueblo: Ponce,,,
"HOSPICIO LA GUADALUPE, INC. - REGIÓN SUR - 04-06-016",Hospicio,21,Privado - No Lucrativo- Corporación,"Medicare, Medicaid","Carretera 14, Anexo Hospital Andrés Grillasca",Teléfono: 787 259-8210,Pueblo: Ponce,,,
HOSPICIO SAN LUCAS - PONCE - 03-06-005,Hospicio,13,Privado - No Lucrativo- Iglesia,"Medicare, Medicaid",291 Calle Monterrey,Teléfono: 787-843-4185,Pueblo: Ponce,,,
